admit,gre,gpa,prestige
0,380,3.61,good
1,660,3.67,good
1,800,4,best
1,640,3.19,ok
0,520,2.93,ok
1,760,3,veryGood
1,560,2.98,best
0,400,3.08,veryGood
1,540,3.39,good
0,700,3.92,veryGood
0,800,4,ok
0,440,3.22,best
1,760,4,best
0,700,3.08,veryGood
1,700,4,best
0,480,3.44,good
0,780,3.87,ok
0,360,2.56,good
0,800,3.75,veryGood
1,540,3.81,best
0,500,3.17,good
1,660,3.63,veryGood
0,600,2.82,ok
0,680,3.19,ok
1,760,3.35,veryGood
1,800,3.66,best
1,620,3.61,best
1,520,3.74,ok
1,780,3.22,veryGood
0,520,3.29,best
0,540,3.78,ok
0,760,3.35,good
0,600,3.4,good
1,800,4,good
0,360,3.14,best
0,400,3.05,veryGood
0,580,3.25,best
0,520,2.9,good
1,500,3.13,veryGood
1,520,2.68,good
0,560,2.42,veryGood
1,580,3.32,veryGood
1,600,3.15,veryGood
0,500,3.31,good
0,700,2.94,veryGood
1,460,3.45,good
1,580,3.46,veryGood
0,500,2.97,ok
0,440,2.48,ok
0,400,3.35,good
0,640,3.86,good
0,440,3.13,ok
0,740,3.37,ok
1,680,3.27,veryGood
0,660,3.34,good
1,740,4,good
0,560,3.19,good
0,380,2.94,good
0,400,3.65,veryGood
0,600,2.82,ok
1,620,3.18,veryGood
0,560,3.32,ok
0,640,3.67,good
1,680,3.85,good
0,580,4,good
0,600,3.59,veryGood
0,740,3.62,ok
0,620,3.3,best
0,580,3.69,best
0,800,3.73,best
0,640,4,good
0,300,2.92,ok
0,480,3.39,ok
0,580,4,veryGood
0,720,3.45,ok
0,720,4,good
0,560,3.36,good
1,800,4,good
0,540,3.12,best
1,620,4,best
0,700,2.9,ok
0,620,3.07,veryGood
0,500,2.71,veryGood
0,380,2.91,ok
1,500,3.6,good
0,520,2.98,veryGood
0,600,3.32,veryGood
0,600,3.48,veryGood
0,700,3.28,best
1,660,4,veryGood
0,700,3.83,veryGood
1,720,3.64,best
0,800,3.9,veryGood
0,580,2.93,veryGood
1,660,3.44,veryGood
0,660,3.33,veryGood
0,640,3.52,ok
0,480,3.57,veryGood
0,700,2.88,veryGood
0,400,3.31,good
0,340,3.15,good
0,580,3.57,good
0,380,3.33,ok
0,540,3.94,good
1,660,3.95,veryGood
1,740,2.97,veryGood
1,700,3.56,best
0,480,3.13,veryGood
0,400,2.93,good
0,480,3.45,veryGood
0,680,3.08,ok
0,420,3.41,ok
0,360,3,good
0,600,3.22,best
0,720,3.84,good
0,620,3.99,good
1,440,3.45,veryGood
0,700,3.72,veryGood
1,800,3.7,best
0,340,2.92,good
1,520,3.74,veryGood
1,480,2.67,veryGood
0,520,2.85,good
0,500,2.98,good
0,720,3.88,good
0,540,3.38,ok
1,600,3.54,best
0,740,3.74,ok
0,540,3.19,veryGood
0,460,3.15,ok
1,620,3.17,veryGood
0,640,2.79,veryGood
0,580,3.4,veryGood
0,500,3.08,good
0,560,2.95,veryGood
0,500,3.57,good
0,560,3.33,ok
0,700,4,good
0,620,3.4,veryGood
1,600,3.58,best
0,640,3.93,veryGood
1,700,3.52,ok
0,620,3.94,ok
0,580,3.4,good
0,580,3.4,ok
0,380,3.43,good
0,480,3.4,veryGood
0,560,2.71,good
1,480,2.91,best
0,740,3.31,best
1,800,3.74,best
0,400,3.38,veryGood
1,640,3.94,veryGood
0,580,3.46,good
0,620,3.69,good
1,580,2.86,ok
0,560,2.52,veryGood
1,480,3.58,best
0,660,3.49,veryGood
0,700,3.82,good
0,600,3.13,veryGood
0,640,3.5,veryGood
1,700,3.56,veryGood
0,520,2.73,veryGood
0,580,3.3,veryGood
0,700,4,best
0,440,3.24,ok
0,720,3.77,good
0,500,4,good
0,600,3.62,good
0,400,3.51,good
0,540,2.81,good
0,680,3.48,good
1,800,3.43,veryGood
0,500,3.53,ok
1,620,3.37,veryGood
0,520,2.62,veryGood
1,620,3.23,good
0,620,3.33,good
0,300,3.01,good
0,620,3.78,good
0,500,3.88,ok
0,700,4,veryGood
1,540,3.84,veryGood
0,500,2.79,ok
0,800,3.6,veryGood
0,560,3.61,good
0,580,2.88,veryGood
0,560,3.07,veryGood
0,500,3.35,veryGood
1,640,2.94,veryGood
0,800,3.54,good
0,640,3.76,good
0,380,3.59,ok
1,600,3.47,veryGood
0,560,3.59,veryGood
0,660,3.07,good
1,400,3.23,ok
0,600,3.63,good
0,580,3.77,ok
0,800,3.31,good
1,580,3.2,veryGood
1,700,4,best
0,420,3.92,ok
1,600,3.89,best
1,780,3.8,good
0,740,3.54,best
1,640,3.63,best
0,540,3.16,good
0,580,3.5,veryGood
0,740,3.34,ok
0,580,3.02,veryGood
0,460,2.87,veryGood
0,640,3.38,good
1,600,3.56,veryGood
1,660,2.91,good
0,340,2.9,best
1,460,3.64,best
0,460,2.98,best
1,560,3.59,veryGood
0,540,3.28,good
0,680,3.99,good
1,480,3.02,best
0,800,3.47,good
0,800,2.9,veryGood
1,720,3.5,good
0,620,3.58,veryGood
0,540,3.02,ok
0,480,3.43,veryGood
1,720,3.42,veryGood
0,580,3.29,ok
0,600,3.28,good
0,380,3.38,veryGood
0,420,2.67,good
1,800,3.53,best
0,620,3.05,veryGood
1,660,3.49,veryGood
0,480,4,veryGood
0,500,2.86,ok
0,700,3.45,good
0,440,2.76,veryGood
1,520,3.81,best
1,680,2.96,good
0,620,3.22,veryGood
0,540,3.04,best
0,800,3.91,good
0,680,3.34,veryGood
0,440,3.17,veryGood
0,680,3.64,good
0,640,3.73,good
0,660,3.31,ok
0,620,3.21,ok
1,520,4,veryGood
1,540,3.55,ok
1,740,3.52,ok
0,640,3.35,good
1,520,3.3,veryGood
1,620,3.95,good
0,520,3.51,veryGood
0,640,3.81,veryGood
0,680,3.11,veryGood
0,440,3.15,veryGood
1,520,3.19,good
1,620,3.95,good
1,520,3.9,good
0,380,3.34,good
0,560,3.24,ok
1,600,3.64,good
1,680,3.46,veryGood
0,500,2.81,good
1,640,3.95,veryGood
0,540,3.33,good
1,680,3.67,veryGood
0,660,3.32,best
0,520,3.12,veryGood
1,600,2.98,veryGood
0,460,3.77,good
1,580,3.58,best
1,680,3,ok
1,660,3.14,veryGood
0,660,3.94,veryGood
0,360,3.27,good
0,660,3.45,ok
0,520,3.1,ok
1,440,3.39,veryGood
0,600,3.31,ok
1,800,3.22,best
1,660,3.7,ok
0,800,3.15,ok
0,420,2.26,ok
1,620,3.45,veryGood
0,800,2.78,veryGood
0,680,3.7,veryGood
0,800,3.97,best
0,480,2.55,best
0,520,3.25,good
0,560,3.16,best
0,460,3.07,veryGood
0,540,3.5,veryGood
0,720,3.4,good
